1,Too sick to party 😪,0
1,"When the gop is willing to destroy their beloved country and party, its because the president is black. Its racial ideology. Make it plain",0
1,"I don't know why she think a nigga dumb,  bitch you wasn't going to a mansion party,  I seen you sneaking and geeking with ya nigga 😂😂😂",0
1,"@SarahCalise I feel the same way, I think everyone knows Malone loves to party",0
1,@msnbc According to the Tea Party (TP) civil servants doing their job is now a scandal. I miss the deceased GOP.,0
1,"@NateBryant1 were friends now but I hate you, you party animal.",0
1,Home from Atty. Inna's thanksgiving party :-),0
1,“@RealRaymondJ: That face a girl makes at a party when a lame nigga tries to dance behind her... http://t.co/Lkml16FP1P” @ShawnDevlin_,0
1,Party!!! XD (@ Station 725) http://t.co/7gK7sVfEfo,0
1,"It's a party over here, shake it for the man of the year 🎶",0
1,Looking forward to glitter jelly later ... It may or may not involve vodka. #student #party #takemeback http://t.co/eDvxPSSlhA,0
1,#prohdr #wedding #party #katadz #katandadz #dancingthenightaway #greattimes #greatwedding #greatfood… http://t.co/UGWhHMLZaq,0
1,Let's get this party started... (@ Warren Real Estate) http://t.co/v1iix1022z,0
1,#after #post #party #ssroxy #frirave #otp #otpistanbul #go #out @ Saturday Sessions - #ssRoxy http://t.co/RV2xsHlo3Y,0
1,Not exactly sure what I'm doing but was at the block party till 4am and now I'm on a bike doing a class.  #psycho #cray #EquinoxMadeMeDoIt,0
1,To paraphrase.. A little party never hurt nobody.. Get on out tonight #theofficenightclub,0
1,I'd give anything to be at Block Party right now! 😔🍻,0
1,Wedding party (with Rizki at Ballroom Hotel Pangeran) — https://t.co/3ovuEDChKV,0
1,"@delanowhite I have 2 more chapters to go in Taking my Soul to the Laundromat, but I have to stop to get ready for my baby's 10th bday party",0
1,looks like i'll be there for the promotion party after all hehehehehehehe,0
1,Drinking an Igor’s Dream (2014) by @2RoadsBrewing @ Barcelona Beer Festival 2014 — http://t.co/QQcMmvtH4b,0
1,"@JonesTheBrewer Cheers, looking forward to trying the APA. Great actor, great name for a beer!",0
1,Lanjut (at House Of Beer (HOB)) — https://t.co/11OwuPE47C,0
1,@idecmarissa Texas is the worst they wouldn't sell me beer bc I had an out of state ID,0
1,"Time for beverages. Beer.

Come on you blue boys. #KTBFFH",0
1,Drinking a Kompaan 39 by @kompaanbier @ Barcelona Beer Festival 2014 — http://t.co/1VeKAAqUUY,0
1,"Golf, Boat and Beer &gt;&gt;&gt;",0
1,"Healthcare,beer,CBC,veterans, gender equality,peace keeping,the environment,treaty rights #MyCanadianValues #cdnpoli #LestWeForget #PEI",0
1,"@YearOfFestivals hope the reading went well, sorry I missed it, I've a beer tasting in Kildare in a bit and wouldn't have made both sadly:-(",0
