1|Happy Birthday baby girl @NancyDoritoo 🎈🎈 I love you very much best wishes!|0
1|"""Are you serving or what girl?"" I'm sat on the opposite side of the bar in a hoodie, eating salt &amp; pepper king prawn.  What do you think?!"|0
1|Weed brownies for tonight party , Hmu is your trying to slide thru 👌🎉 http://t.co/YM1yoSFNAK|0
1|Gianna can crash my party anytime &lt;343434434344344|0
1|When a girl hairs done she just feel so pretty 😍😍👏☝️|0
1|@dannimartinx I'm going to party|0
1|Wish this friggin party at the side if us would hurry up and finish! Such shite music!!|0
1|#yup #whiskey #beer #headaches|0
1|“@L_Bandz: @xoxoConner yeah I be doin it bad mfs be ready to fight me lol” girl my mom threatened to punch me yesterday lol|0
1|Light my fire 🔥|0
1|I know I'm late to the party but @bbcluther with @idriselba is quite possibly the best TV show I have ever seen. #luther #thewire #idris|0
1|Mid laugh with a mouthful of beer 😝 http://t.co/HYbyXkw1sf|0
1|My apts would wanna have a pool party when I'm gone 😢|0
1|“@MrDavidMichele: [NEWS] Lea and Chord are expected to attend Lacoste Desert Pool Party. http://t.co/JcFN0XWItc”|0
1|During this cosmic party be impeccable with your words and actions, remember all things are borrowed, we are temporarily here, use it wisely|0
1|@kellay91: Yess final!!! Great game so happy!! Lots of beer to celebrate! ⚽️🍺👍😃#AFCvWAFC|0
1|Fresh citrus and hops. A great spring beer. - Drinking a Fresh Hop by @greatdividebrew @ Mos Eisley Cantina  — http://t.co/nHRvq9c3Pa|0
1|"""@gabbylucchetti: best advice ever from a little old man: ""eat healthy, don't eat McDonald's, and drink a lot of beer &amp; whiskey"" 😊"" omg &lt;3"|0
1|Ready for the cross fire game|0
1|Great day with Tony De Beer, Jorge Capuzorio, Stef  Biagione and Arnold De Beer ... Great men and great sensei. Thank you...|0
1|@Just_Enoch maybe depend how I feel going to a party|0
1|I just wanna party|0
1|Skins Party tonight 🙌🙌🙌🙌👌👑|0
1|Yess final!!! Great game so happy!! Lots of beer to celebrate! ⚽️🍺👍😃#AFCvWAFC|0
1|Saturday party 2 djs Go Go dancers pole dancer 05332900107 (@ Murphy's w/ 5 others) http://t.co/7xcF2LgxRA|0
1|Can't believe I'm missing my aunts 50th birthday surprise party for work😢|0
1|@CloudDami nigga that shit is fire lmfao. Omg. Eye cant breath.|0
1|Just finished up the brewery tour &amp; beer tasting @leinielodge A fun thing to do on our 18th wedding anniversary. http://t.co/oTtdlHnc7g|0
1|#InstaSize#party#voronezh#happiness#me#friends#i_like_it#take_everything_from_life#tasty_things#yummy#c… http://t.co/K2p4hrR3M8|0
1|Brian McCann is on fire👌|0
1|Yes. (@ Salsa And Beer) http://t.co/R8lQ2LcTi7|0
1|McDonald's party in the children's ward|0
1|Just been invited to a party by a 50 year old..|0
1|(Un)official pre-party #croswellwedding (@ Scotty's @Brewhouse w/ @bradkroft) http://t.co/XR4Bm6CIdH http://t.co/hDamoBVsJv|0
1|party @ my house tonight cruiz thru|0
1|Happy springy day #Manssas we are here @HeritageBrews great food will go well with great beer! 😄|0
1|Neon party! Parceirinhas top! 😝💡🆙 @ 1051 http://t.co/3gWkcctDdd|0
1|@kelseynicole_12 good thing you didn't come to my party it was rough!|0
1|Wheres this house party in bay ?👊😂😂😂|0
1|@iFoRePLayy for real tho. Mario party|0
1|Arsenal are celebrating like cavemen who just discovered fire🎈🎈|0
1|My bro and his homies got this party tonight at this club and I'm tryna go but he talm bout I might need an id 👎👎😐|0
1|Might be making an appearance at block party tonight with my babe 😈😈👯 @cassandra2038|0
1|@OshanaPaul Yeah... And he's cleaning for my sister's birthday party, but now I can't eat until my break... 😭|0
1|Spring party tonight ✨ #pleDGe|0
1|Beer o'clock! 🍻 @ Bloomington Craft Beer Festival http://t.co/dM9wd1Vb7q|0
